ID,Назва,Cost (закуп),Supplier Price (RRP),Rozetka Price (поточна),Base Before Round,Final Price (рекоменд.),Target Profit,Net Profit,Comm Used (%),Used RRP?,RRP Fallback?,Old Price Rec.
550052487,Крісло ігрове GamePro FGC750DB Fabric Dark Blue,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052484,Крісло офісне Sihoo DORO S300 Mesh Dark Grey,28799.22,35999.0,35999,35999.0,35999,1000.0,5399.83,5.0,True,False,43999.0
550052481,Крісло офісне OfficePro Harmony OC310-G-G-G,3999.18,4999.0,4999,6024.0,6099,1000.0,1062.99,17.0,False,False,7318.8
550052478,Стілець із регулюванням висоти OfficePro S448,2799.18,3499.0,3499,4048.0,4099,559.84,602.99,17.0,False,False,4918.8
550052475,Крісло ігрове GamePro GC900B Fabric Black,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,16999.0
550052472,Крісло офісне OfficePro Balance OC620-W-LG-LG,6799.2,8499.0,8499,8522.0,8599,700.0,767.92,12.0,False,False,10318.8
550052469,Крісло офісне OfficePro Skyline OC680-W-LG-LG,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052466,Крісло офісне Sihoo DORO C300 Pro Mesh Black,20799.18,25999.0,25999,25999.0,25999,1000.0,3379.89,7.0,True,False,29999.0
550052463,Крісло офісне Sihoo DORO S100 Mesh Black,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,21999.0
550052460,Крісло GamePro Hero RGB (GC-700-Black),5949.18,6999.0,6999,7443.0,7499,600.0,649.94,12.0,False,False,8998.8
550052457,Стілець із регулюванням висоти OfficePro S345,2399.22,2999.0,2999,3469.0,3499,479.84,504.95,17.0,False,False,4198.8
550052454,Крісло ігрове GamePro FGC750DG Fabric Dark Gray,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052451,Крісло офісне OfficePro Wave OC670-G-G-G,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052448,Крісло офісне Officepro Atlas OC630-W-LG-LG,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,10999.0
550052445,Крісло офісне OfficePro ElegantOC600-G-DG-DG,5999.22,7499.0,7499,7954.0,7999,1000.0,1039.9,12.0,False,False,9598.8
550052442,Крісло офісне Officepro Atlas OC630-B-DG-DG,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,10999.0
550052439,Крісло офісне Sihoo DORO C300L Mesh White,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,22999.0
550052436,Крісло ігрове GamePro GC900DB Fabric Dark Blue,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,16999.0
550052433,Крісло офісне OfficePro Balance OC620-G-DG-DG,6799.2,8499.0,8499,8522.0,8599,700.0,767.92,12.0,False,False,10318.8
550052430,Крісло ігрове GamePro FGC750G Fabric Beige,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052427,Крісло геймерське Sihoo Xallking X5C Mesh Grey,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,21999.0
550052424,Крісло GamePro GC715DG,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052421,Крісло ігрове GamePro GC925B Fabric Black,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,14999.0
550052418,Крісло офісне OfficePro Elegant OC660-G-DG-DG,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052415,Ігрове крісло кокпіт GamePro RS400B,5599.2,6999.0,6999,7045.0,7099,600.0,647.92,12.0,False,False,8518.8
550052412,Крісло офісне OfficePro Harmony OC310-B-G-G,4399.2,5499.0,5499,6024.0,6099,600.0,662.97,17.0,False,False,7318.8
550052409,Крісло офісне OfficePro Elegant OC660-W-LG-LG,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052406,Крісло ігрове GamePro GC760DG Fabric Dark Gray,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052403,Крісло офісне OfficePro Balance OC550-B-DG-DG,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052400,Крісло GamePro Raptor (GC590-Black),5599.2,6999.0,6999,7045.0,7099,600.0,647.92,12.0,False,True,8518.8
550052397,Крісло ігрове GamePro GC925G Gray Black,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,14999.0
550052394,Крісло офісне OfficePro Wave OC670-B-B-B,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052391,Крісло офісне OfficePro Elegant OC600-W-LG-LG,5999.22,7499.0,7499,7954.0,7999,1000.0,1039.9,12.0,False,False,9598.8
550052388,Крісло офісне Officepro Atlas OC630-B-B-B,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,10999.0
550052385,Крісло офісне Officepro Atlas OC630-W-DG-DG,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,10999.0
550052382,Крісло геймерське Sihoo Xallking X5C Mesh Black,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,21999.0
550052379,Крісло офісне OfficePro Balance OC620-B-DG-DG,6799.2,8499.0,8499,8522.0,8599,700.0,767.92,12.0,False,False,10318.8
550052376,Крісло ігрове GamePro GC575FB Fabric Black&Red,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052373,Крісло офісне Sihoo DORO C300 Pro Mesh White,20799.18,25999.0,25999,25999.0,25999,1000.0,3379.89,7.0,True,False,29999.0
550052370,Крісло ігрове GamePro GC700FB RGB Fabric Black,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052367,Крісло офісне OfficePro OC680G Gray,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052364,Ігрове крісло кокпіт GamePro RS115,12799.2,15999.0,15999,15999.0,15999,1000.0,1279.92,12.0,True,False,20999.0
550052361,Крісло GamePro GC715SG,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052358,Крісло GamePro Rush (GC-575-Black-Red),6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052355,Крісло офісне Sihoo DORO S100 Mesh White,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,21999.0
550052352,Крісло ігрове GamePro FGC750LB Fabric Light Blue,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052349,Крісло офісне Sihoo DORO S300 Mesh Light Grey,28799.22,35999.0,35999,35999.0,35999,1000.0,5399.83,5.0,True,False,43999.0
550052346,Крісло офісне OfficePro Balance OC620-W-DG-DG,6799.2,8499.0,8499,8522.0,8599,700.0,767.92,12.0,False,False,10318.8
550052343,Крісло ігрове GamePro GC775B Fabric Black,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052340,Крісло офісне OfficePro Wave OC599-B-DG-DG,5599.2,6999.0,6999,7045.0,7099,600.0,647.92,12.0,False,False,8518.8
550052337,Крісло ігрове GamePro GC575FG Fabric Gray,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052334,Крісло офісне OfficePro Skyline OC750-W-LG-LG,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052331,Крісло офісне OfficePro Balance OC550-W-DG-OR,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052328,Крісло ігрове GamePro GC695B,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052325,Крісло офісне OfficePro Harmony OC310-B-B-B,4399.2,5499.0,5499,6024.0,6099,600.0,662.97,17.0,False,False,7318.8
550052322,Крісло ігрове GamePro FGC750LG Fabric Light Gray,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052319,Крісло офісне Sihoo DORO C300L Mesh Black,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,22999.0
550052316,Ігрове крісло кокпіт GamePro RS167,17599.2,21999.0,21999,21999.0,21999,1000.0,2859.87,7.0,True,False,24999.0
550052313,Ігрове крісло кокпіт GamePro RS100,11199.18,13999.0,13999,13999.0,13999,1000.0,1119.94,12.0,True,False,17999.0
